TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,100.8,102.5,112.5,114.3,-11.7,-11.8,0.654,1.82,18.5,0.173,0.632,0.405,0.136,0.513,0.542,92.0,90.5,75.42,361,0.446,16,16,1,16,16,15,11,16,2,9,4,16,15,16,10,11,13,16,14,2022-23
1610612739,Cleveland Cavaliers,5,1,4,0.2,240.0,101.1,101.9,104.6,107.3,-3.6,-5.4,0.625,1.39,17.5,0.276,0.606,0.451,0.171,0.513,0.544,94.2,92.6,77.17,462,0.474,12,12,1,12,14,16,1,12,3,15,9,9,16,15,16,12,12,14,10,2022-23
1610612743,Denver Nuggets,20,16,4,0.8,965.0,116.7,118.2,108.0,110.2,8.7,8.0,0.609,2.22,19.1,0.3,0.762,0.538,0.121,0.557,0.593,96.8,95.18,79.32,1919,0.553,2,1,1,1,2,1,4,1,4,1,2,5,4,1,2,3,2,10,1,2022-23
1610612744,Golden State Warriors,13,6,7,0.462,624.0,108.6,110.9,109.1,111.1,-0.5,-0.2,0.672,1.96,19.2,0.304,0.708,0.504,0.141,0.525,0.553,104.0,101.92,84.94,1325,0.498,5,6,13,8,5,9,6,6,1,5,1,4,7,7,14,10,11,3,5,2022-23
1610612746,LA Clippers,5,1,4,0.2,240.0,112.9,116.3,120.9,122.5,-8.1,-6.2,0.529,1.54,15.8,0.323,0.682,0.49,0.141,0.529,0.577,101.6,99.5,82.92,497,0.437,12,12,1,12,14,2,16,13,15,14,13,3,13,10,13,8,5,6,15,2022-23
1610612747,Los Angeles Lakers,16,8,8,0.5,773.0,111.3,112.7,108.0,110.3,3.3,2.4,0.607,2.09,18.2,0.261,0.709,0.498,0.12,0.529,0.573,100.7,99.04,82.54,1595,0.532,4,4,14,7,4,8,5,3,7,2,7,14,6,8,1,6,6,7,2,2022-23
1610612763,Memphis Grizzlies,6,2,4,0.333,293.0,101.0,102.8,108.2,110.0,-7.1,-7.2,0.609,1.79,16.5,0.281,0.696,0.474,0.128,0.465,0.504,101.9,100.18,83.48,611,0.436,10,10,1,10,10,14,3,14,6,10,12,8,11,13,6,16,16,5,16,2022-23
1610612748,Miami Heat,23,13,10,0.565,1109.0,110.5,113.8,110.3,111.9,0.2,1.9,0.593,2.01,17.9,0.272,0.708,0.487,0.123,0.531,0.567,97.0,94.87,79.06,2189,0.498,1,2,16,3,1,7,8,4,9,4,8,11,8,11,3,5,7,11,6,2022-23
1610612749,Milwaukee Bucks,5,1,4,0.2,245.0,111.8,114.2,116.7,119.0,-4.8,-4.8,0.609,1.86,18.6,0.273,0.787,0.516,0.138,0.559,0.582,104.1,101.98,84.98,520,0.478,12,12,1,12,12,6,15,11,5,8,3,10,1,4,12,2,4,2,9,2022-23
1610612750,Minnesota Timberwolves,5,1,4,0.2,245.0,107.9,109.6,115.1,117.2,-7.2,-7.7,0.598,1.77,17.4,0.229,0.693,0.462,0.133,0.525,0.565,96.4,94.82,79.02,481,0.459,12,12,1,12,12,11,12,15,8,11,10,15,12,14,9,9,8,12,12,2022-23
1610612752,New York Knicks,11,6,5,0.545,528.0,105.4,107.7,105.1,107.8,0.3,0.0,0.531,1.28,14.6,0.348,0.707,0.525,0.158,0.492,0.537,94.9,92.73,77.27,1022,0.5,6,6,11,5,7,13,2,5,14,16,16,1,9,3,15,15,14,13,4,2022-23
1610612755,Philadelphia 76ers,11,7,4,0.636,533.0,108.2,110.2,110.2,112.1,-2.0,-2.0,0.52,1.54,15.2,0.296,0.766,0.527,0.133,0.51,0.555,93.7,92.08,76.74,1024,0.483,6,5,1,2,6,10,9,7,16,13,14,7,2,2,8,13,10,15,8,2022-23
1610612756,Phoenix Suns,11,6,5,0.545,528.0,114.2,116.1,115.9,118.3,-1.7,-2.2,0.57,2.03,18.2,0.27,0.681,0.481,0.123,0.55,0.588,100.2,98.41,82.01,1082,0.495,6,6,11,5,7,3,13,8,11,3,6,12,14,12,4,4,3,8,7,2022-23
1610612758,Sacramento Kings,7,3,4,0.429,336.0,106.2,109.3,109.8,111.6,-3.6,-2.2,0.537,1.56,15.1,0.339,0.7,0.513,0.136,0.493,0.532,106.3,103.93,86.61,728,0.467,9,9,1,9,9,12,7,9,13,12,15,2,10,5,11,14,15,1,11,2022-23
1610612738,Boston Celtics,19,16,3,0.842,917.0,115.6,116.8,106.0,108.2,9.5,8.6,0.605,2.07,18.4,0.276,0.762,0.521,0.123,0.555,0.589,94.0,92.6,77.16,1769,0.55,2,1,1,1,2,4,3,1,5,5,4,9,2,4,5,2,2,12,1,2023-24
1610612739,Cleveland Cavaliers,12,5,7,0.417,576.0,102.8,104.7,109.2,111.1,-6.4,-6.4,0.568,1.75,17.0,0.233,0.699,0.466,0.13,0.51,0.54,95.2,93.5,77.92,1124,0.473,6,8,13,9,6,14,8,12,10,11,10,13,9,14,10,12,13,8,12,2023-24
