PLAYER_NAME,Salary,TEAM_ABBREVIATION,SEASON
Ibou Badji,480346,POR,2024-25
Juan Toscano-Anderson,461240,SAC,2024-25
Jules Bernard,427342,WAS,2024-25
Jontay Porter,424030,TOR,2024-25
Jaylen Nowell,409990,DET,2024-25
Drew Peterson,407466,BOS,2024-25
Nathan Mensah,407466,CHO,2024-25
Henri Drell,400840,CHI,2024-25
Alex Fudge,387588,DAL,2024-25
Vit Krejci,380964,ATL,2024-25
Brandon Williams,361087,DAL,2024-25
Trey Jemison,351149,MEM,2024-25
Jason Preston,324648,UTA,2024-25
Tosan Evbuomwan,304770,DET,2024-25
Ashton Hagans,278888,POR,2024-25
Jeff Dowtin,277237,PHI,2024-25
Javonte Green,269057,CHI,2024-25
Justin Champagnie,261971,WAS,2024-25
Pete Nance,251768,CLE,2024-25
Lindell Wigginton,251767,MIL,2024-25
Armoni Brooks,248454,BRK,2024-25
D'Moi Hodge,248454,LAL,2024-25
Jahmi'us Ramsey,239048,TOR,2024-25
Dexter Dennis,218640,DAL,2024-25
Alondes Williams,218640,MIA,2024-25
Mason Jones,218640,SAC,2024-25
DeJon Jarreau,213253,MEM,2024-25
Zavier Simpson,213253,MEM,2024-25
Adam Flagler,212015,OKC,2024-25
Danny Green,208078,PHI,2024-25
Mouhamadou Gueye,205389,TOR,2024-25
Jamaree Bouyea,175876,SAS,2024-25
Pat Spencer,175574,GSW,2024-25
Buddy Boeheim,172261,DET,2024-25
Andrew Funk,165636,CHI,2024-25
Shaquille Harrison,149618,MEM,2024-25
Justin Jackson,149618,MIN,2024-25
RaiQuan Gray,145760,SAS,2024-25
Quenton Jackson,139134,IND,2024-25
Hamidou Diallo,138870,WAS,2024-25
Matthew Hurt,132509,MEM,2024-25
Wenyen Gabriel,128122,MEM,2024-25
Kobi Simmons,123823,TOR,2024-25
Malik Williams,79506,TOR,2024-25
Taze Moore,72787,POR,2024-25
Timmy Allen,66254,MEM,2024-25
Jalen Crutcher,66254,NOP,2024-25
Izaiah Brockington,66254,NOP,2024-25
Kaiser Gates,36440,NOP,2024-25
